product_id,category,product_name,price
1,Sports,Everlast Heavy Punching Bag,35000
2,Electronics,Logitech MX Keys Advanced Wireless Keyboard,25000
3,Electronics,DJI Avata FPV Drone,225000
4,Books,The Mountain Is You by Brianna Wiest,1800
5,Books,Grit by Angela Duckworth,1800
6,Electronics,Samsung Galaxy Z Fold 4,225000
7,Books,Tools of Titans by Tim Ferriss,2500
8,Clothing,Reebok Sports Bra,5000
9,Electronics,Sony WH-1000XM4,45000
10,Clothing,Columbia Hiking Jacket,18000
11,Electronics,Nikon D7500,135000
12,Home & Kitchen,Eureka Forbes Smart Water Purifier,70000
13,Electronics,Corsair K95 RGB Mechanical Keyboard,30000
14,Beauty,Lancome Advanced Genifique Serum,11000
15,Clothing,H&M Slim Fit Chinos,8000
16,Sports,Decathlon Quechua 2-Person Camping Tent,40000
17,Home & Kitchen,Morphy Richards Coffee Grinder,18000
18,Electronics,Sony WF-1000XM5 Wireless Earbuds,45000
19,Books,The Ride of a Lifetime by Bob Iger,1800
20,Home & Kitchen,Dyson Cordless Vacuum Cleaner,85000
21,Home & Kitchen,Panasonic 32L Convection Microwave,60000
22,Electronics,Bose QuietComfort Ultra Headphones,70000
23,Home & Kitchen,Breville Barista Express Coffee Machine,125000
24,Books,Atomic Habits by James Clear,1600
25,Beauty,Huda Beauty Eyeshadow Palette,6200
26,Sports,Nike ZoomX Vaporfly NEXT% 2 Running Shoes,42000
27,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,1800
28,Beauty,Kosas Tinted Face Oil,4800
29,Electronics,Corsair iCUE H150i Elite CPU Cooler,40000
30,Home & Kitchen,Tefal Cookware Set,18000
31,Home & Kitchen,Philips Smart LED Bulbs,5000
32,Electronics,MSI Gaming Monitor 27-inch,65000
33,Home & Kitchen,Eureka Forbes Water Purifier,60000
34,Home & Kitchen,Morphy Richards Toaster,6000
35,Sports,Yonex Nanoray 900 Badminton Racket,15000
36,Beauty,Tatcha The Essence,15000
37,Books,The Courage to Be Disliked by Ichiro Kishimi,2300
38,Electronics,Samsung Frame QLED 55-inch TV,210000
39,Home & Kitchen,Morphy Richards Multifunction Blender,18000
40,Beauty,Urban Decay Naked Eyeshadow Palette,6000
41,Books,The Paradox of Choice by Barry Schwartz,1700
42,Sports,Yonex Voltric Z-Force II Badminton Racket,20000
43,Clothing,Hugo Boss Formal Shirt,12000
44,Beauty,Too Faced Better Than Sex Mascara,3500
45,Sports,Callaway Golf Club Set,75000
46,Sports,Salomon Speedcross 6 Trail Shoes,26000
47,Clothing,Uniqlo Hoodie,5000
48,Electronics,JBL Flip 6 Speaker,22000
49,Beauty,Kosas Tinted Face Oil,4800
50,Home & Kitchen,Xiaomi Smart LED Ceiling Fan,35000
51,Books,The Psychology of Money by Morgan Housel,2000
